channelId,title,publishedAt,channelTitle,categoryId,defaultLanguage,defaultAudioLanguage,viewCount,likeCount,favoriteCount,commentCount
UCr6JdxlULK9d0uHuvMGCUnQ,🔴 [SemutHitam] SAYA KEMBALI! | SUICIDE SQUAD: KILL THE JUSTICE LEAGUE #ad,2024-02-08T16:23:35Z,Nerd Gaming Malaysia,20,ms,ms,10147,1126,0,5
UC0-blwBxnXb8HXO-NUbIxZQ,last reel 3,2024-02-04T06:33:09Z,ederF,22,,,11,3,0,2
UCK8of7NJhRnyYRH1LlZ-Ubw,"SHOW DA MANHÃ COM MARCO ANTÔNIO COSTA, ADRILLES JORGE, PAULO FIGUEIREDO E FLÁVIO GORDON - 09/02/2024",2024-02-08T20:36:42Z,Fio Diário,25,pt-BR,en-US,0,75,0,0
UCMnEPMKN8hQXC13Sy3UzjOg,वेब सिरीज फुकाटवाडी... पोरगी हॉटेलमध्ये जेवण करायला आल्यानंतर पोरगी पटवायची प्लॅनिंग करतात,2024-02-04T03:30:10Z,Aactor raju dhawade,23,,,1018,,0,0
UC6NLlo3MIECiH2PDivzbkEA,Avançai! Avançai! | Organista Bujor Florin Lucian tocando o Órgão Farfisa Pergamon,2024-02-04T22:00:07Z,Bujor Florin Lucian,10,,ro,42,2,0,0
UCMmpLL2ucRHAXbNHiCPyIyg,"""𝐌𝐮𝐣𝐡𝐞 𝐑𝐎 𝐨𝐟𝐟𝐢𝐜𝐞 𝐬𝐞 𝐛𝐚𝐡𝐚𝐫 𝐧𝐢𝐤𝐚𝐥 𝐝𝐢𝐲𝐚 𝐠𝐚𝐲𝐚,"" Salman Akram Raja | LHC Mai Sama'at",2024-02-09T11:13:57Z,ARY News,25,en,ur,4279,162,0,4
UC8NxJ8TB76xiFypl_G0s2CA,Viva sua casa. Veja depois.,2024-02-05T20:33:15Z,Veja Limpeza,24,,,4352411,8,0,0
UCrjv59wcc2ferOZ586B2v2w,LAGOAS SALGADAS NO CHACO PARAGUAIO PARTE II,2024-02-06T13:00:07Z,CHALANA EM DUAS RODAS,19,pt-BR,pt-BR,50,15,0,6
UCZo72ak3rVk6GNpSJBIgFOw,ESTÁ AVANÇAR COM A ORGANIZAÇÃO UNIDA DE DEUS,2024-02-02T17:15:09Z,Fabião Muanda,27,,,24,4,0,0
UCtubCrQZyLUyyoGDBEu_NPg,Andra Day Wants to play Eartha Kitt in a Biopic,2024-02-03T01:00:09Z,Christopher Brown MAAGA,22,,,721,19,0,1
UCVRWkwOQIpxPOhQ9V-gL2UA,"SIAMÉS ""My Way"" [Official Animated Music Video]",2024-02-03T15:18:40Z,SIAMES,10,en,en,0,824,0,72
UCNTRqt2USOfwwskXHj_1rnA,"Sonic Frontiers FAN OST - ""Stand Tall"" Feat. @KONTAGION705 & @SilentDreamsMax  (TITAN THEME)",2024-02-03T23:25:40Z,Zakkujo,10,,,0,135,0,43
UC1fy_L5_U8RACglEc2Xztxw,Prova do líder: Davi se desentende com Wanessa e Yasmin | Isabelle disputa caixa com Rodriguinho e +,2024-02-09T10:21:41Z,Netuno Pop,24,pt-BR,pt-BR,4572,214,0,22
UCA3altnjT0eFZ65kuReqvJw,Manifesting: UNLOCK the LIMITLESS Capabilities of the SUBCONSCIOUS MIND,2024-02-03T00:48:41Z,Divine Imagination by Joseph Alai,22,en,en-US,0,34,0,21
UCo4-WGKOvw3QmzW8MRuuFtQ,A MELHOR LIVE DE PROMOÇÕES DA INTERNET ⚠️ SORTEIO 10 PC GAMER  (Sex. as 14 HORAS!),2024-02-07T17:19:48Z,Pichau,24,pt,pt,0,160,0,0
UCN-bFIdJM0gQlgX7h6LKcZA,バンドリ！TV LIVE 2024 #205,2024-02-08T04:37:12Z,バンドリちゃんねる☆,1,,en,0,49,0,0
UCP6L9TPS3pHccVRiDB_cvqQ,"Homilia Diária | A santa que “venceu” São Bento (Memória de Santa Escolástica, Virgem)",2024-02-08T20:15:17Z,Padre Paulo Ricardo,27,pt-BR,pt-BR,0,206,0,1
UCSpDUbgUY0-SzRftO_TTiCg,"FREE MUSIC, BY SOUNDEFFECT-NF",2024-02-07T22:00:09Z,SOUND NF1,10,pt-BR,pt-BR,1,2,0,0
UCWwZ0vM0qnr3vPHh2lgqH_w,"🔴 AO VIVO | FERIADO ANO NOVO CHINA,  BALANÇO BANCO BRASIL, INVESTIGAÇÃO PF BOLSONARO, COTAÇÃO DÓLAR",2024-02-08T22:44:03Z,TC,25,,pt-BR,40,334,0,0
UCjWxeXfmtOnv1MndaSEWFew,"EVANGELHO DO DIA | 09/02/2024 | Mc 7,31-37 | @PadreManzottiOficial",2024-02-09T08:30:08Z,Padre Reginaldo Manzotti,22,,pt,29269,12999,0,638
UCVNouUw3d3l5JYVCxhAQXKA,ORAÇÃO DA MEIA-NOITE-09 DE FEVEREIRO @BispoBrunoLeonardo,2024-02-09T02:58:09Z,Bispo Bruno Leonardo,29,,,718870,289445,0,210315
UCVNouUw3d3l5JYVCxhAQXKA,ORAÇÃO FORTÍSSIMA PARA TE DAR A VITÓRIA @BispoBrunoLeonardo,2024-02-07T07:58:11Z,Bispo Bruno Leonardo,29,,,2631464,715790,0,575597
UCVNouUw3d3l5JYVCxhAQXKA,ORAÇÃO DO DIA-09 DE FEVEREIRO ​⁠@BispoBrunoLeonardo,2024-02-09T07:58:06Z,Bispo Bruno Leonardo,29,,,1001588,560701,0,483958
UCVNouUw3d3l5JYVCxhAQXKA,ORAÇÃO FORTÍSSIMA @BispoBrunoLeonardo,2024-02-06T20:58:08Z,Bispo Bruno Leonardo,29,,,1895428,597817,0,492958
UCVNouUw3d3l5JYVCxhAQXKA,ORAÇÃO FORTÍSSIMA @BispoBrunoLeonardo,2024-02-04T07:58:10Z,Bispo Bruno Leonardo,29,,,2171549,628254,0,547868
UCVNouUw3d3l5JYVCxhAQXKA,ORAÇÃO FORTÍSSIMA SALMO 91 @BispoBrunoLeonardo,2024-02-07T20:58:11Z,Bispo Bruno Leonardo,29,,,1944527,587401,0,435244
UCVNouUw3d3l5JYVCxhAQXKA,ORAÇÃO FORTÍSSIMA ​⁠​⁠@BispoBrunoLeonardo,2024-02-05T07:58:07Z,Bispo Bruno Leonardo,29,,,2463302,703418,0,581216
UCVNouUw3d3l5JYVCxhAQXKA,ORAÇÃO DA NOITE-03 DE FEVEREIRO @BispoBrunoLeonardo,2024-02-03T20:58:09Z,Bispo Bruno Leonardo,29,,,1619053,526861,0,467586
